site,date,word_count,grade_level,comment_count,likes
slowboring,2022-08-29,2216,11.5,308,262
slowboring,2022-08-30,2301,10.5,301,148
slowboring,2022-08-31,2235,11.5,182,107
slowboring,2022-09-01,1521,12.5,372,181
slowboring,2022-09-02,3789,10.4,275,71
slowboring,2022-09-05,52,6.5,27,32
slowboring,2022-09-06,2500,11.8,320,250
slowboring,2022-09-07,1928,12.2,377,149
slowboring,2022-09-12,1850,10.2,268,167
slowboring,2022-09-08,2102,15.3,357,200
slowboring,2022-09-13,270,9.3,14,37
slowboring,2022-09-09,2434,10.5,218,61
slowboring,2022-09-09,1479,14.7,90,145
slowboring,2022-09-13,1698,10.5,276,115
slowboring,2022-09-14,2607,10.2,212,242
slowboring,2022-09-15,2300,11.6,430,160
slowboring,2022-09-19,1858,9.2,200,125
slowboring,2022-09-16,3521,10.1,308,100
slowboring,2022-09-20,3366,12.8,426,180
slowboring,2022-09-21,3036,10.8,208,229
slowboring,2022-09-22,2616,11.4,120,89
slowboring,2022-09-26,1875,13.5,316,156
slowboring,2022-09-23,3297,10.5,465,78
slowboring,2022-09-27,2344,11.0,208,218
slowboring,2022-09-28,1677,12.5,220,104
slowboring,2022-09-29,2046,10.8,224,209
slowboring,2022-09-30,3022,10.3,385,100
slowboring,2022-10-03,2026,11.3,400,179
slowboring,2022-10-07,3223,9.8,293,83
slowboring,2022-10-05,2028,12.2,431,230
slowboring,2022-10-04,2326,9.2,265,137
slowboring,2022-10-06,2606,13.0,228,173
slowboring,2022-10-11,248,9.2,6,25
slowboring,2022-10-11,1896,12.2,67,113
slowboring,2022-10-10,1256,12.4,157,141
slowboring,2022-10-12,2913,11.0,158,142
slowboring,2022-10-13,2017,11.2,259,152
slowboring,2022-10-14,3493,10.3,441,88
slowboring,2022-10-17,2175,10.6,255,229
slowboring,2022-11-14,1974,10.0,242,142
slowboring,2022-10-19,2886,11.1,343,154
slowboring,2022-10-27,2120,12.8,259,179
slowboring,2022-10-18,2230,10.8,219,123
slowboring,2022-10-20,2498,10.4,306,209
slowboring,2022-10-21,3168,11.5,545,81
slowboring,2022-10-24,3641,9.6,67,71
slowboring,2022-10-25,2176,11.3,402,169
slowboring,2022-10-31,5412,9.6,51,36
slowboring,2022-10-26,2178,11.3,227,182
slowboring,2022-10-28,3543,10.6,267,97
slowboring,2022-11-01,2433,11.0,364,180
slowboring,2022-11-02,2291,10.7,493,174
slowboring,2022-11-08,2530,10.3,149,118
slowboring,2022-11-03,2301,10.7,376,174
slowboring,2022-11-04,3781,9.9,301,67
slowboring,2022-11-07,2296,10.8,312,217
slowboring,2022-11-10,3951,10.7,369,85
slowboring,2022-11-09,2050,10.0,298,212
slowboring,2022-11-11,362,11.8,194,102
slowboring,2022-11-15,3253,12.6,276,208
slowboring,2022-11-16,2171,10.1,258,200
slowboring,2022-11-17,2771,11.4,538,194
slowboring,2022-11-18,2733,10.4,261,96
slowboring,2022-11-21,1978,11.2,205,173
slowboring,2022-11-22,2345,10.7,228,151
slowboring,2022-11-23,2292,11.5,113,161
slowboring,2022-11-24,182,11.1,67,186
slowboring,2022-11-25,3515,11.3,257,130
slowboring,2022-11-28,2408,11.2,252,141
slowboring,2022-11-30,2204,12.0,144,200
slowboring,2022-11-29,2647,12.5,215,185
slowboring,2022-12-01,2252,14.0,163,173
slowboring,2022-12-02,4388,11.3,525,128
slowboring,2022-12-05,2390,11.8,402,179
slowboring,2022-12-06,2978,11.7,122,100
slowboring,2022-12-07,2713,12.1,450,363
slowboring,2022-12-20,1684,11.9,331,188
slowboring,2022-12-08,2463,8.5,256,304
slowboring,2022-12-09,3894,11.7,383,106
slowboring,2022-12-12,2281,11.0,238,136
slowboring,2022-12-13,2286,10.1,228,232
slowboring,2022-12-14,1919,12.3,699,284
slowboring,2022-12-29,3392,12.5,260,113
slowboring,2022-12-15,2564,11.0,247,244
slowboring,2022-12-16,4093,10.6,465,96
slowboring,2022-12-19,1926,10.7,154,84
slowboring,2022-12-27,2255,11.5,423,167
slowboring,2022-12-21,2374,13.6,166,265
slowboring,2022-12-28,2274,13.7,220,151
slowboring,2022-12-23,4183,11.4,181,94
slowboring,2022-12-22,717,12.7,214,155
slowboring,2022-12-23,97,10.8,2,35
slowboring,2022-12-26,99,11.0,33,64
slowboring,2022-12-30,5079,10.9,344,98
freddiedeboer,2021-03-02,4615,9.4,7,29
